Course Code,Course Name,L-T-P,Credits,Discipline,Program,Course category,Slot Lecture\Venue,Tutorial Slot\Venue,Lab slot\Venue,Instructor
MML303,Polymeric Materials and Engineering,3-0-0,3,MSME,BTech,PC,F,,,Dr. Sanjib Banerjee
MML504,Materials Synthesis and Processing,3-0-0,3,MSME,MTech,PC,I,,,Dr. Amit Kumar Mishra
MML558,Machine Learning for Materials Engineering,3-0-0,3,,,PE,K,,,Dr. Milan Kumar Jena
MML559,Structure and Property of Materials,3-0-0,3,,,PE,M,,,Dr. Yagnesh Shadangi PE for ECE
MML560,Nanomaterials: Characterization and Applications,3-0-0,3,,,PE,L,,,Dr. Amit Kumar Mishra
MML562,Energy Materials and Devices,3-0-0,3,,,PE,I,,,Dr. Arvind Singh
MMP301,Computational Materials Science and Engineering Lab,0-0-2,1,MSME,BTech,PC,W12,,,Dr. Milan Kumar Jena
MMP302,Industrial Exposure to Metals Processing,0-0-2,1,MSME,BTech,PC,Q12,,,"Dr. Yagnesh Shadangi, Dr. Nithin B"
MMP303,Metallurgical/Metallography Lab,0-0-3,1.5,MSME,BTech,PC,R,,,"Dr. Nithin B, Dr. Yagnesh Shadangi"
MMP510,Materials Synthesis and Characterization Laboratory,0-0-3,1.5,MSME,MTech,PC,W,,,Dr. Ashutosh Kumar and Dr. Amit Kumar Mishra
MT799,PhD Thesis,X-X-X,6 to 30,MT,PhD,TC,DPGC_MT,,,
MTT895,PhD Candidacy,X-X-X,0,MT,PhD,TC,DPGC_MT,,,
MTL201,Fluid Power System,3-0-2,4,MT,BTech,PC,A,,,O23 Dr. Ashish Kumar Sahu
MTL301,Fundamental of Robotics,3-0-0,3,MT,BTech,PC,B,,,Dr. Saikat Sahoo
MTL501,Fundamental of Mechatronics,2-0-2,3,MT,MTech,PC,C12,,,"W23 Dr Saikat Sahoo, Dr. Kedarisetty Siddhardha"
MTQ401,Minor Project,0-0-3,1.5,MT,BTech,PC,V,,,DUGC_MT
MTT799,MTech Thesis,X-X-X,12,MT,MTech,PC,DPGC_MT,,,
MTT899,PhD Thesis,X-X-X,12,MT,PhD,TC,DPGC_MT,,,
PH799,Thesis (PhD) Old,X-X-X,6 to 30,PH,PhD,TC,DPGC_PH,,,
PHL010,Physics-1,3-1-0,4,PH,BTech,IC,I,,,"E3 Dr. Sabyasachi Ghosh, Dr. Ravi Kashikar"
PHP011,Physics Lab-I,0-0-3,1.5,PH,BTech,IC,U,,,Dr. Dhruv Pratap Singh
PHL101,Physics for Engineers,3-1-0,4,PH,BTech,IC,C,,,"E2 Dr. Mahavir Sharma, Dr. Praveen Kumar, Dr. Anjali"
PHL403,Mathematical Physics,3-0-0,3,PH,MSc,PC,F,,,Dr. Sudhanwa Patra
PHL404,Electronics,3-0-0,3,PH,MSc,PC,B,,,Dr. Anjali Chaudhary
PHL501,Classical Mechanics,3-0-0,3,PH,MSc,PC,A,,,Dr. Dhruv Pratap Singh
PHL502,Quantum Mechanics,3-0-0,3,PH,MSc,PC,E,,,Dr. Sesha Pavan Kumar Vempati
PHL601,Computational Physics,3-0-0,3,,,PE,L,,,Dr. Ravi Kashikar
PHL602,Astrophysics and Cosmology,3-0-0,3,,,PE,M,,,Dr. Mahavir Sharma
PHL603,Quantum Field Theory,3-0-0,3,,,PE,F,,,Dr. Sabyasachi Ghosh
PHL609,Advanced quantum mechanics,3-0-0,3,,,PE,E,,,Dr. Sudhanwa Patra
PHL612,Fundamentals of Nanoscience and Nanotechnology,3-0-0,3,,,PE,G,,,Dr. Avijit Saha PE for ECE
PHL613,Quantum Materials and Devices: Fundamentals and Applications,3-0-0,3,,,PE,I,,,Dr. Bhaskar Ghawri PE for ECE
PHP102,Physics Lab,0-0-3,1.5,PH,BTech,IC,NA,,,NA OWQSU Dr. Avijit Saha
PHL505,Electrodynamics,3-0-0,3,PH,MSc,PC,D,,,Dr. Praveen Kumar
PHP506,Electronics Laboratory,0-0-6,3,PH,MSc,PC,"Q,S",,,Dr. Bhaskar Ghawri
PHT699,Thesis (MSc ),X-X-X,6,PH,MSc,TC,DPGC_PH,,,
PHT895,PhD Candidacy,X-X-X,0,PH,PhD,TC,DPGC_PH,,,
PHT899,Thesis (PhD) New,X-X-X,9 to 12,PH,PhD,TC,DPGC_PH,,,
